Name:, Price: 
Apple iPhone 11 Pro Max Dual Sim (4G| 512GB| Gold) Non-PTA,Rs279.999
Huawei Y7 Prime 2019 Dual Sim (4G| 3GB| 64GB) Red With 1 Year Official Warranty ,Rs27.949
Oppo F11 Pro Dual Sim (4G| 6GB RAM| 128GB ROM|Aurora Green) With 1 Year Official Warranty ,Rs52.999
VIVO S1 Dual Sim (4G| 6GB RAM| 128GB ROM|Diamond Black) With 1 Year Official Warranty ,Rs48.499
Samsung Galaxy Fold (4G| 12GB RAM| 512 GB ROM|Silver) Non-PTA,Rs425.000
Apple iPhone XS Max (4G| 256GB Gold),Rs191.999
Infinix Smart 2 HD X609 Dual Sim (3G| 1GB RAM| 16GB| Midnight Black) With 1 Year Official Warranty ,Rs11.071
Vivo Y93 Dual Sim(4G| 3GB RAM| 32GB ROM| Black) With 1 Year Official Warranty ,Rs22.499
Apple iPhone 11 Dual Sim (4G| 64GB |Red) Non-PTA,Rs135.999
Realme 3 Pro (4G| 6GB RAM| 128GB ROM) Blue With 1 Year Official Warranty ,Rs37.499
Samsung Galaxy A30 Dual Sim (4G| 4GB RAM| 64GB ROM| White),Rs35.999
OnePlus 7 Pro Dual Sim (4G| 8GB RAM| 256GB ROM|Nebula Blue) ,Rs144.999
Samsung Galaxy A70 Dual Sim (4G| 6GB RAM| 128GB ROM|Blue),Rs57.500
Apple iPhone 11 Pro Max (4G| 64GB| Space Gray) Non-PTA,Rs208.999
Samsung Galaxy A70 Dual Sim (4G| 6GB RAM| 128GB ROM|Black) With 1 Year Official Warranty ,Rs62.799
Apple iPhone X (4G| 64GB| Silver),Rs142.799
Samsung Galaxy A10 Dual Sim (4G| 2GB RAM| 32GB ROM| Blue) With 1 Year Official Warranty ,Rs21.399
Huawei Y7 Prime 2018 Dual Sim (4G| 3GB| 32GB| Black) With 1 Year Official Warranty ,Rs22.700
Apple iPhone 11 (4G| 64GB |Black) Non-PTA,Rs153.999
Samsung Galaxy A70 (4G| 6GB RAM| 128GB ROM|Coral) With 1 Year Official Warranty ,Rs62.799
Samsung Galaxy A20 Dual Sim(4G| 3GB RAM| 32GB ROM| Black) With 1 Year Official Warranty ,Rs27.629
Nokia 8110 4G With 1 Year Official Warranty ,Rs7.363
Oppo A5s (4G| 2GB RAM| 32GB ROM) RED With 1 Year Official Warranty ,Rs21.599
Samsung Galaxy A10 Dual Sim (4G| 2GB RAM| 32GB ROM| Black) With 1 Year Official Warranty ,Rs21.199
